Epoch,Step,Total,CE,feat
1,0,2.306035041809082,2.306035041809082,
2,0,2.737711191177368,2.737711191177368,
3,0,2.1510322093963623,2.1510322093963623,
4,0,1.98050856590271,1.98050856590271,
5,0,1.6815317869186401,1.6815317869186401,
6,0,1.5759574174880981,1.5759574174880981,
7,0,1.5505127906799316,1.5505127906799316,
8,0,1.5699173212051392,1.5699173212051392,
9,0,1.4908753633499146,1.4908753633499146,
10,0,1.575786828994751,1.575786828994751,
11,0,1.4552947282791138,1.4552947282791138,
12,0,1.5377713441848755,1.5377713441848755,
13,0,1.4243921041488647,1.4243921041488647,
14,0,1.4284125566482544,1.4284125566482544,
15,0,1.3964980840682983,1.3964980840682983,
16,0,1.421689510345459,1.421689510345459,
17,0,1.397821068763733,1.397821068763733,
18,0,1.3349637985229492,1.3349637985229492,
19,0,1.3672987222671509,1.3672987222671509,
20,0,1.3280929327011108,1.3280929327011108,
21,0,1.3363388776779175,1.3363388776779175,
22,0,1.277937412261963,1.277937412261963,
23,0,1.326094627380371,1.326094627380371,
24,0,1.3298202753067017,1.3298202753067017,
25,0,1.3136601448059082,1.3136601448059082,
26,0,1.2700785398483276,1.2700785398483276,
27,0,1.2716741561889648,1.2716741561889648,
